Timestamp,What is your age?,What gender do you identify as?,What's your ethnicity?,What level of education are you currently enrolled in?,What program are you currently studying?,Have you heard of this 'ChatGPT?',How have you used ChatGPT?,"If you have used ChatGPT for academia, did you see an improvement in your grade?",Has ChatGPT been reliable and/or accurate for you?,Do you think ChatGPT helps your learning or hinders you?,Statement: Schools should ban the usage of ChatGPT due to it being under the category of academic dishonesty.,What forms of evaluation in academia should ChatGPT be allowed to assist you with?
2/21/2023 17:03:39,18-22,Male,Asian,Bachelor's Degree,Business ,Yes,"Academia (essay writing, programming help), Personal (cooking, inspiration, etc.)",Yes,Yes,Helps me learn,Agree,"Essay writing or inspiration, Summing up a topic, Research ideas"
2/21/2023 17:04:45,18-22,Male,Asian,Bachelor's Degree,Science,Yes,I have not used ChatGPT,I have not used ChatGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Strongly agree,"Grammar (vocab, syntax)"
2/21/2023 17:05:21,18-22,Female,White / Caucasian,Bachelor's Degree,Arts,Yes,I have not used ChatGPT,I have not used ChatGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Neutral,"Mathematics assistance, Summing up a topic, Grammar (vocab, syntax)"
2/21/2023 17:05:45,18-22,Male,Asian,Bachelor's Degree,Science,Yes,"Entertainment (play chess with me), Personal (cooking, inspiration, etc.)",I have not used ChatGPT for academia,Yes,Helps me learn,Strongly disagree,Research ideas
2/21/2023 17:06:06,18-22,Female,Asian,Bachelor's Degree,Science,Yes,"Academia (essay writing, programming help), Entertainment (play chess with me)",No,Sometimes,Helps me learn,Disagree,"Essay writing or inspiration, Mathematics assistance, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
2/21/2023 17:17:32,18-22,Trans Gender/Non-Binary,White / Caucasian,Bachelor's Degree,Science,No,,,,,,
2/21/2023 17:18:41,18-22,Male,Middle Eastern,Bachelor's Degree,Science,Yes,"Academia (essay writing, programming help), Entertainment (play chess with me), Personal (cooking, inspiration, etc.)",No,Sometimes,Helps me learn,Disagree,"Essay writing or inspiration, Mathematics assistance, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
2/21/2023 17:24:58,Under 18,Male,Asian,Bachelor's Degree,Science and Business,Yes,"Entertainment (play chess with me), Personal (cooking, inspiration, etc.)",No,Sometimes,Helps me learn,Agree,"Essay writing or inspiration, Summing up a topic, Grammar (vocab, syntax)"
2/21/2023 17:26:06,18-22,Female,Asian,Bachelor's Degree,Science,Yes,"Academia (essay writing, programming help)",No,Sometimes,Helps me learn,Neutral,"Mathematics assistance, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
2/21/2023 17:29:13,18-22,Male,Asian,Bachelor's Degree,Science,Yes,I have not used ChatGPT,I have not used ChatGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Disagree,"Mathematics assistance, Proofreading assignments, Research ideas, Grammar (vocab, syntax), inspiration but not essay writing"
2/21/2023 17:30:56,18-22,Male,Asian,Bachelor's Degree,Business ,No,,,,,,
2/21/2023 17:32:30,18-22,Female,Asian,Bachelor's Degree,Business ,Yes,I have not used ChatGPT,I have not used ChatGPT for academia,No,I have not used ChatGPT,Neutral,"Proofreading assignments, Summing up a topic"
2/21/2023 17:33:34,18-22,Female,Asian,Bachelor's Degree,Community Service,Yes,"Academia (essay writing, programming help)",No,Sometimes,Helps me learn,Disagree,"Essay writing or inspiration, Mathematics assistance, Summing up a topic, Research ideas"
2/21/2023 17:35:22,18-22,Female,Black or African American,Bachelor's Degree,Economics,Yes,I have not used ChatGPT,I have not used ChatGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Disagree,"Proofreading assignments, Grammar (vocab, syntax)"
2/21/2023 17:35:23,18-22,Female,White / Caucasian,Bachelor's Degree,Engineering,No,,,,,,
2/21/2023 17:37:03,18-22,Male,White / Caucasian,Bachelor's Degree,Science,Yes,Entertainment (play chess with me),I have not used ChatGPT for academia,Sometimes,Helps me learn,Disagree,"Mathematics assistance, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
2/21/2023 17:38:40,18-22,Male,Asian,Bachelor's Degree,Science,Yes,Entertainment (play chess with me),I have not used ChatGPT for academia,Sometimes,Helps me learn,Disagree,"Essay writing or inspiration, Mathematics assistance, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax), Giving a vague idea for writing lyrics"
2/21/2023 17:41:48,18-22,Male,Asian,Bachelor's Degree,Engineering,Yes,I have not used ChatGPT,I have not used ChatGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Strongly agree,None
2/21/2023 17:53:25,18-22,Male,Middle Eastern,Bachelor's Degree,Science,Yes,I have not used ChatGPT,I have not used ChatGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Agree,"Research ideas, Grammar (vocab, syntax)"
2/21/2023 18:41:10,18-22,Male,Asian,Bachelor's Degree,Science,Yes,"Academia (essay writing, programming help), Personal (cooking, inspiration, etc.)",Yes,Sometimes,Helps me learn,Agree,"Essay writing or inspiration, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
2/21/2023 19:01:35,18-22,Trans Gender/Non-Binary,White / Caucasian,Bachelor's Degree,Arts,Yes,I have not used ChatGPT,I have not used ChatGPT for academia,I have not used ChatGPT,Helps me learn,Disagree,None
2/21/2023 19:17:58,18-22,Male,Asian,Bachelor's Degree,Science,Yes,"Academia (essay writing, programming help), Personal (cooking, inspiration, etc.)",I have not used ChatGPT for academia,Yes,Helps me learn,Disagree,"Mathematics assistance, Summing up a topic, Grammar (vocab, syntax)"
2/21/2023 19:26:32,18-22,Male,Asian,Bachelor's Degree,Human Geography,Yes,"Academia (essay writing, programming help), Entertainment (play chess with me), Personal (cooking, inspiration, etc.)",Yes,Sometimes,Helps me learn,Neutral,"Essay writing or inspiration, Mathematics assistance, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
2/21/2023 19:34:25,18-22,Female,White / Caucasian,Bachelor's Degree,Arts,No,,,,,,
2/21/2023 19:38:50,18-22,Male,White / Caucasian,Bachelor's Degree,Science,Yes,"Academia (essay writing, programming help)",No,Sometimes,Helps me learn,Agree,"Mathematics assistance, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
2/21/2023 19:56:22,18-22,Female,White / Caucasian,Bachelor's Degree,Science,Yes,"Academia (essay writing, programming help)",Yes,Sometimes,Helps me learn,Disagree,"Essay writing or inspiration, Summing up a topic, Research ideas"
2/21/2023 19:56:39,18-22,Male,Asian,Bachelor's Degree,Arts,No,,,,,,
2/21/2023 20:24:40,18-22,Male,Asian,Bachelor's Degree,Business ,Yes,"Personal (cooking, inspiration, etc.)",No,Sometimes,Helps me learn,Neutral,"Mathematics assistance, Summing up a topic, Research ideas"
2/21/2023 20:45:10,18-22,Male,Asian,Bachelor's Degree,Architecture,Yes,"Personal (cooking, inspiration, etc.)",I have not used ChatGPT for academia,Yes,Helps me learn,Neutral,"Mathematics assistance, Proofreading assignments, Research ideas, Grammar (vocab, syntax)"
2/21/2023 20:49:56,18-22,Female,Asian,Bachelor's Degree,Science,Yes,"Academia (essay writing, programming help)",Yes,Sometimes,Helps me learn,Agree,"Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
2/21/2023 21:03:42,18-22,Male,Asian,Bachelor's Degree,Community Service,Yes,"Entertainment (play chess with me), Personal (cooking, inspiration, etc.)",No,Sometimes,Helps me learn,Disagree,"Essay writing or inspiration, Mathematics assistance, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
2/21/2023 21:25:16,18-22,Male,Asian,Bachelor's Degree,Mathematics,Yes,"Academia (essay writing, programming help), Entertainment (play chess with me), Personal (cooking, inspiration, etc.)",No,No,Helps me learn,Disagree,"Essay writing or inspiration, Mathematics assistance, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
2/21/2023 21:46:42,18-22,Female,White / Caucasian,Bachelor's Degree,Community Service,No,,,,,,
2/21/2023 22:55:12,18-22,Female,Asian,Bachelor's Degree,Business ,Yes,"Academia (essay writing, programming help), Personal (cooking, inspiration, etc.)",Yes,Sometimes,Helps me learn,Neutral,"Essay writing or inspiration, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
2/21/2023 23:26:27,18-22,Male,Asian,Bachelor's Degree,Business ,Yes,I have not used ChatGPT,I have not used ChatGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Strongly agree,"Grammar (vocab, syntax)"
2/22/2023 0:41:44,18-22,Male,Asian,Bachelor's Degree,Science,Yes,"Academia (essay writing, programming help)",Yes,Yes,Helps me learn,Strongly disagree,"Essay writing or inspiration, Mathematics assistance, Summing up a topic, Research ideas"
2/22/2023 0:46:56,18-22,Male,Middle Eastern,Bachelor's Degree,Science,Yes,"Academia (essay writing, programming help)",Yes,Yes,Helps me learn,Agree,peter said youre sexy
2/22/2023 1:59:17,18-22,Male,Asian,Bachelor's Degree,Science,Yes,"Academia (essay writing, programming help), Personal (cooking, inspiration, etc.)",Yes,Sometimes,Helps me learn,Neutral,"Research ideas, Grammar (vocab, syntax), Secondary google"
2/22/2023 11:54:34,18-22,Trans Gender/Non-Binary,White / Caucasian,Bachelor's Degree,Math and Science,Yes,I have not used ChatGPT,I have not used ChatpGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Agree,"Proofreading assignments, Summing up a topic, Research ideas"
2/22/2023 14:09:14,18-22,Male,Asian,Bachelor's Degree,Science,Yes,I have not used ChatGPT,I have not used ChatpGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Strongly agree,None
2/22/2023 15:09:08,18-22,Female,Asian,Bachelor's Degree,Science,Yes,I have not used ChatGPT,I have not used ChatpGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Neutral,"Mathematics assistance, Proofreading assignments, Grammar (vocab, syntax)"
2/22/2023 18:04:38,18-22,Male,Black or African American,Bachelor's Degree,Engineering,Yes,"Academia (essay writing, programming help), Entertainment (play chess with me)",Yes,Sometimes,Hinders my learning,Disagree,"Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
2/23/2023 17:25:25,18-22,Trans Gender/Non-Binary,Asian,Bachelor's Degree,Science,Yes,I have not used ChatGPT,I have not used ChatpGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Disagree,"Essay writing or inspiration, Mathematics assistance, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
2/23/2023 21:20:55,18-22,Trans Gender/Non-Binary,Indigenous or Native American,PhD,Arts,Yes,Entertainment (play chess with me),No,Yes,Helps me learn,,
2/23/2023 21:44:58,18-22,Male,Asian,Bachelor's Degree,Science,Yes,Entertainment (play chess with me),I have not used ChatpGPT for academia,Sometimes,Helps me learn,,
2/23/2023 21:46:01,18-22,Male,Asian,Bachelor's Degree,Science,Yes,"Academia (essay writing, programming help), Entertainment (play chess with me), Personal (cooking, inspiration, etc.)",Yes,Sometimes,Helps me learn,Disagree,"Essay writing or inspiration, Proofreading assignments, Research ideas, Grammar (vocab, syntax)"
2/24/2023 2:56:09,18-22,Male,White / Caucasian,Bachelor's Degree,Engineering,Yes,"Entertainment (play chess with me), Personal (cooking, inspiration, etc.)",I have not used ChatpGPT for academia,Sometimes,Helps me learn,Agree,None
2/25/2023 18:44:49,18-22,Male,Asian,Bachelor's Degree,Engineering,Yes,"Entertainment (play chess with me), Personal (cooking, inspiration, etc.)",I have not used ChatpGPT for academia,Sometimes,Helps me learn,Neutral,"Proofreading assignments, Summing up a topic, Grammar (vocab, syntax)"
2/25/2023 18:46:57,18-22,Male,Asian,Bachelor's Degree,Science,Yes,"Academia (essay writing, programming help), Entertainment (play chess with me), Personal (cooking, inspiration, etc.)",Yes,Sometimes,Helps me learn,,
2/25/2023 19:33:44,18-22,Female,Asian,Bachelor's Degree,Science,Yes,I have not used ChatGPT,I have not used ChatpGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Agree,"Mathematics assistance, Proofreading assignments, Summing up a topic, Grammar (vocab, syntax)"
2/25/2023 20:00:48,18-22,Male,Asian,College Diploma,Arts,Yes,I have not used ChatGPT,No,I have not used ChatGPT,I have not used ChatGPT,Strongly disagree,"Mathematics assistance, Summing up a topic, Grammar (vocab, syntax)"
2/25/2023 22:26:16,18-22,Male,Asian,Bachelor's Degree,Science,Yes,I have not used ChatGPT,I have not used ChatpGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Disagree,"Mathematics assistance, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
2/26/2023 10:58:47,18-22,Male,White / Caucasian,Bachelor's Degree,Science,Yes,"Academia (essay writing, programming help), Personal (cooking, inspiration, etc.)",Yes,Sometimes,Helps me learn,Agree,"Proofreading assignments, Grammar (vocab, syntax)"
2/26/2023 16:33:56,18-22,Male,Asian,Bachelor's Degree,Science,Yes,"Academia (essay writing, programming help), Entertainment (play chess with me), Personal (cooking, inspiration, etc.)",Yes,Sometimes,Helps me learn,Agree,"Essay writing or inspiration, Research ideas, Grammar (vocab, syntax)"
2/27/2023 11:03:13,18-22,Female,African ,Bachelor's Degree,Arts,No,,,,,Strongly disagree,"Mathematics assistance, Summing up a topic"
2/28/2023 11:16:23,18-22,Male,South Asian,Bachelor's Degree,Science,Yes,I have not used ChatGPT,I have not used ChatpGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Neutral,Proofreading assignments
3/2/2023 22:49:01,18-22,Male,Asian,College Diploma,Economics,Yes,I have not used ChatGPT,I have not used ChatpGPT for academia,I have not used ChatGPT,I have not used ChatGPT,,
3/2/2023 22:49:14,18-22,Male,Asian,Bachelor's Degree,Arts,Yes,"Academia (essay writing, programming help)",No,Sometimes,Hinders my learning,Neutral,"Essay writing or inspiration, Mathematics assistance, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
3/2/2023 23:50:12,18-22,Male,White / Caucasian,Bachelor's Degree,Science,Yes,I have not used ChatGPT,I have not used ChatpGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Strongly disagree,"Essay writing or inspiration, Mathematics assistance, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
3/3/2023 18:42:44,18-22,Female,White / Caucasian,Bachelor's Degree,Arts,No,,,,,Agree,"Summing up a topic, Research ideas"
3/3/2023 18:45:39,18-22,Male,White / Caucasian,Bachelor's Degree,Science,Yes,"Entertainment (play chess with me), Personal (cooking, inspiration, etc.)",I have not used ChatpGPT for academia,Sometimes,Helps me learn,Neutral,"Essay writing or inspiration, Proofreading assignments, Research ideas, Grammar (vocab, syntax)"
3/3/2023 18:48:09,18-22,Male,White / Caucasian,Bachelor's Degree,Arts,Yes,Entertainment (play chess with me),I have not used ChatpGPT for academia,Sometimes,Hinders my learning,,
3/3/2023 18:49:38,18-22,Male,White / Caucasian,College Diploma,Business,Yes,"Entertainment (play chess with me), Personal (cooking, inspiration, etc.)",I have not used ChatpGPT for academia,Sometimes,Helps me learn,Disagree,"Essay writing or inspiration, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
3/3/2023 19:01:49,Under 18,Male,White / Caucasian,Bachelor's Degree,Science,Yes,"Academia (essay writing, programming help)",No,Yes,Helps me learn,Strongly agree,"Proofreading assignments, Research ideas"
3/3/2023 19:02:47,18-22,Female,White / Caucasian,Bachelor's Degree,Engineering,Yes,"Academia (essay writing, programming help), Entertainment (play chess with me)",I have not used ChatpGPT for academia,Yes,Helps me learn,Disagree,"Summing up a topic, Research ideas"
3/3/2023 19:03:33,18-22,Male,White / Caucasian,Bachelor's Degree,Arts,Yes,"Academia (essay writing, programming help)",Yes,Sometimes,Helps me learn,Neutral,Proofreading assignments
3/3/2023 19:10:52,18-22,Female,White / Caucasian,Bachelor's Degree,Science,Yes,I have not used ChatGPT,I have not used ChatpGPT for academia,I have not used ChatGPT,I have not used ChatGPT,Neutral,Research ideas
3/3/2023 20:00:49,Under 18,Male,White / Caucasian,Bachelor's Degree,Engineering,Yes,"Academia (essay writing, programming help)",Yes,Yes,Helps me learn,Disagree,"Essay writing or inspiration, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
3/7/2023 22:49:26,18-22,Male,White / Caucasian,Bachelor's Degree,Engineering,Yes,"Academia (essay writing, programming help)",Yes,Yes,Helps me learn,Neutral,"Essay writing or inspiration, Mathematics assistance, Proofreading assignments, Summing up a topic, Research ideas, Grammar (vocab, syntax)"
